Composition,YS (MPa)
Mo0.25Ta0.25Ti0.25V0.25,1221
Mo0.2726Nb0.1818Ti0.1818V0.1818Zr0.1818,1603
Mo0.2826Nb0.2174Ti0.2174V0.0653Zr0.2174,1603
Mo0.2857Nb0.2857Re0.1429W0.2857,896
Mo0.2983Nb0.1754Ti0.1754V0.1754Zr0.1754,1645
Mo0.2Nb0.2Ta0.2Ti0.2V0.2,1400
Mo0.2Nb0.2Ta0.2Ti0.2W0.2,1343
Mo0.2Nb0.2Ti0.2V0.2Zr0.2,1706
Mo0.3124Nb0.2084Ti0.2084V0.0625Zr0.2084,1576
Mo0.3333Nb0.1667Ti0.1667V0.1667Zr0.1667,1765
Mo0.3333Nb0.3333Ti0.3333,1100
Nb0.25Ta0.25Ti0.25W0.25,1054
Nb0.25Ta0.25Ti0.25Zr0.25,1144
Nb0.25Ta0.25V0.25W0.25,1530
Nb0.25Ti0.25V0.25Zr0.25,1104
Nb0.2Ta0.2Ti0.2V0.2W0.2,1420
Nb0.2Ta0.2Ti0.2V0.2Zr0.2,1395
Nb0.2Ti0.2V0.4Zr0.2,918
Nb0.303Re0.0909Ti0.303Zr0.303,1244
Nb0.303Ta0.0909Ti0.303Zr0.303,882
Nb0.303Ti0.303V0.0909Zr0.303,866
Nb0.3333Ta0.3333Ti0.3333,573
Nb0.375Ta0.2501Ti0.2501Zr0.1249,822
